tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,tag_sup,tag_sup_child,tag_tab_elem,red_flag_id,relative_table_elements,height_width_diff,tag_dl_type,tag_math_type,tag_math_elem,tag_annotation,label,name,attrs
NO,NO,NO,2,NO,0.918928813,0.039017332,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-78.54998779,NO,NO,NO,NO,0,a,"['/wiki/Logarithmic_scale', 'Logarithmic scale']"
NO,YES,NO,50,NO,0.184336019,0.014335657,0,0.1,NO,NO,NO,NO,NO,NO,NO,NO,0,-974.3999634,NO,NO,NO,NO,1,p,[]
NO,NO,YES,1,NO,0.184336019,0.014538521,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-51.68333435,NO,NO,NO,NO,1,b,[]
NO,NO,YES,1,NO,0.254035211,0.014538521,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-3.449996948,NO,NO,NO,NO,1,b,[]
NO,NO,NO,1,NO,0.309977983,0.014538521,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-41.58332825,NO,NO,NO,NO,1,a,"['/wiki/Algorithm', 'Algorithm']"
NO,NO,NO,2,NO,0.415443865,0.014538521,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-77.36665344,NO,NO,NO,NO,1,a,"['/wiki/Google_Search', 'Google Search']"
NO,NO,NO,2,NO,0.54750549,0.014538521,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-51.69999695,NO,NO,NO,NO,1,a,"['/wiki/Webpages', ['mw-redirect'], 'Webpages']"
NO,NO,NO,2,NO,0.654805561,0.014538521,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-71.93333435,NO,NO,NO,NO,1,a,"['/wiki/Search_engine', ['mw-redirect'], 'Search engine']"
NO,NO,NO,2,NO,0.39068231,0.016026183,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-52.4666748,NO,NO,NO,NO,1,a,"['/wiki/Larry_Page', 'Larry Page']"
NO,NO,NO,1,NO,0.457630217,0.015890941,0,0,NO,NO,YES,NO,YES,NO,NO,NO,0,0,NO,NO,NO,NO,0,sup,"['cite_ref-1', ['reference']]"
NO,NO,NO,1,NO,0.457630217,0.015890941,0,0,NO,NO,NO,NO,NO,YES,NO,NO,0,0,NO,NO,NO,NO,0,a,['#cite_note-1']
NO,NO,NO,6,NO,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,0,NO,NO,NO,NO,0,style,['TemplateStyles:r886047036']
NO,NO,NO,41,NO,0.184336019,0.019812961,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-531.2000275,NO,NO,NO,NO,1,blockquote,[['templatequote']]
NO,YES,NO,41,NO,0.221019804,0.020286308,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-465.2000275,NO,NO,NO,NO,1,p,[]
NO,NO,NO,1,NO,0.655722656,0.023396875,0,0,NO,NO,YES,NO,YES,NO,NO,NO,0,0,NO,NO,NO,NO,0,sup,"['cite_ref-2', ['reference']]"
NO,NO,NO,1,NO,0.655722656,0.023396875,0,0,NO,NO,NO,NO,NO,YES,NO,NO,0,0,NO,NO,NO,NO,0,a,['#cite_note-2']
NO,YES,NO,32,NO,0.184336019,0.026236958,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-996.7999725,NO,NO,NO,NO,1,p,[]
NO,NO,NO,1,NO,0.582355086,0.027792242,0,0,NO,NO,YES,NO,YES,NO,NO,NO,0,0,NO,NO,NO,NO,0,sup,"['cite_ref-3', ['reference']]"
NO,NO,NO,1,NO,0.582355086,0.027792242,0,0,NO,NO,NO,NO,NO,YES,NO,NO,0,0,NO,NO,NO,NO,0,a,['#cite_note-3']
NO,NO,NO,1,NO,0.593360221,0.027792242,0,0,NO,NO,YES,NO,YES,NO,NO,NO,0,-1.53E-05,NO,NO,NO,NO,0,sup,"['cite_ref-4', ['reference']]"
NO,NO,NO,1,NO,0.593360221,0.027792242,0,0,NO,NO,NO,NO,NO,YES,NO,NO,0,-1.53E-05,NO,NO,NO,NO,0,a,['#cite_note-4']
NO,NO,NO,132,NO,0.184336019,0.029753251,0.265151515,0,NO,NO,YES,NO,NO,NO,NO,NO,0,251.666626,NO,NO,NO,NO,0,div,"['toc', ['toc']]"
NO,NO,NO,0,NO,0.195341155,0.030497083,nan,nan,NO,NO,YES,NO,NO,NO,NO,NO,nan,1.53E-05,NO,NO,NO,NO,0,input,"['checkbox', 'button', 'toctogglecheckbox', ['toctogglecheckbox'], 'display:none']"
NO,NO,NO,1,NO,0.191672776,0.030294219,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-538.5499725,NO,NO,NO,NO,0,div,"[['toctitle'], 'en', 'ltr']"
YES,NO,NO,1,NO,0.406272918,0.030497083,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-42.41667175,NO,NO,NO,NO,0,h2,[]
NO,NO,NO,0,NO,0.458547312,0.030564704,nan,nan,NO,NO,YES,NO,NO,NO,NO,NO,nan,-20.43333435,NO,NO,NO,NO,0,span,[['toctogglespan']]
NO,NO,NO,0,NO,0.464966974,0.030564704,nan,nan,NO,NO,YES,NO,NO,NO,NO,NO,nan,-10.03334045,NO,NO,NO,NO,0,label,"[['toctogglelabel'], 'toctogglecheckbox']"
NO,NO,NO,130,NO,0.191672776,0.031984745,0.269230769,0,NO,NO,NO,NO,NO,NO,NO,NO,0,222.416687,NO,NO,NO,NO,0,ul,[]
NO,NO,NO,2,NO,0.191672776,0.031984745,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-538.5499878,NO,NO,NO,NO,0,li,"[['toclevel-1', 'tocsection-1']]"
NO,NO,NO,2,NO,0.191672776,0.032187608,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-65.3833313,NO,NO,NO,NO,0,a,['#Description']
NO,NO,NO,1,NO,0.191672776,0.031984745,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,7.233337402,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.204512101,0.031984745,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-45.25001526,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,2,NO,0.191672776,0.033540029,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-538.5499878,NO,NO,NO,NO,0,li,"[['toclevel-1', 'tocsection-2']]"
NO,NO,NO,2,NO,0.191672776,0.033742892,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-40.2333374,NO,NO,NO,NO,0,a,['#History']
NO,NO,NO,1,NO,0.191672776,0.033540029,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,7.233337402,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.204512101,0.033540029,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-20.10002136,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,28,NO,0.191672776,0.035027691,0.321428571,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-338.9999695,NO,NO,NO,NO,0,li,"[['toclevel-1', 'tocsection-3']]"
NO,NO,NO,2,NO,0.191672776,0.035230554,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-55.0333252,NO,NO,NO,NO,0,a,['#Algorithm']
NO,NO,NO,1,NO,0.191672776,0.035027691,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,7.233352661,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.204512101,0.035027691,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-34.8999939,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,25,NO,0.215517237,0.036515354,0.36,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-333.6833344,NO,NO,NO,NO,0,ul,[]
NO,NO,NO,3,NO,0.215517237,0.036515354,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9499969,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-4']]"
NO,NO,NO,3,NO,0.215517237,0.036718217,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-126.0166779,NO,NO,NO,NO,0,a,['#Simplified_algorithm']
NO,NO,NO,1,NO,0.215517237,0.036515354,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.866668701,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,2,NO,0.238444602,0.036515354,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-94.7833252,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,3,NO,0.215517237,0.038003016,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9500122,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-5']]"
NO,NO,NO,3,NO,0.215517237,0.038205879,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-100.1666565,NO,NO,NO,NO,0,a,['#Damping_factor']
NO,NO,NO,1,NO,0.215517237,0.038003016,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.86668396,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,2,NO,0.238444602,0.038003016,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-68.93333435,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,10,NO,0.215517237,0.0395583,0.3,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-445.4333344,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-6']]"
NO,NO,NO,2,NO,0.215517237,0.039761163,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-85.38334656,NO,NO,NO,NO,0,a,['#Computation']
NO,NO,NO,1,NO,0.215517237,0.0395583,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.86668396,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.238444602,0.0395583,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-54.15000916,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,7,NO,0.240278791,0.040978342,0.428571429,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-440.1166534,NO,NO,NO,NO,0,ul,[]
NO,NO,NO,2,NO,0.240278791,0.040978342,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-485.3499908,NO,NO,NO,NO,0,li,"[['toclevel-3', 'tocsection-7']]"
NO,NO,NO,2,NO,0.240278791,0.041181205,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-68.3833313,NO,NO,NO,NO,0,a,['#Iterative']
NO,NO,NO,1,NO,0.240278791,0.040978342,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-14.96665955,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.273294198,0.040978342,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-26.04998779,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,2,NO,0.240278791,0.042533625,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-485.3499908,NO,NO,NO,NO,0,li,"[['toclevel-3', 'tocsection-8']]"
NO,NO,NO,2,NO,0.240278791,0.042736488,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-76.5,NO,NO,NO,NO,0,a,['#Algebraic']
NO,NO,NO,1,NO,0.240278791,0.042533625,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-14.96665955,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.273294198,0.042533625,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-34.16665649,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,3,NO,0.240278791,0.044021288,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-485.3499908,NO,NO,NO,NO,0,li,"[['toclevel-3', 'tocsection-9']]"
NO,NO,NO,3,NO,0.240278791,0.044224151,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-106.8333282,NO,NO,NO,NO,0,a,['#Power_Method']
NO,NO,NO,1,NO,0.240278791,0.044021288,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-14.96665955,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,2,NO,0.273294198,0.044021288,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-64.49998474,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,7,NO,0.215517237,0.045576571,0.285714286,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-468.0500031,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-10']]"
NO,NO,NO,2,NO,0.215517237,0.045779434,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-100.9166565,NO,NO,NO,NO,0,a,['#Implementation']
NO,NO,NO,1,NO,0.215517237,0.045576571,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.86668396,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.238444602,0.045576571,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-69.68333435,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,4,NO,0.240278791,0.046996613,0.5,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-462.7333221,NO,NO,NO,NO,0,ul,[]
NO,NO,NO,2,NO,0.240278791,0.046996613,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-485.3499908,NO,NO,NO,NO,0,li,"[['toclevel-3', 'tocsection-11']]"
NO,NO,NO,2,NO,0.240278791,0.047199476,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-119.1166687,NO,NO,NO,NO,0,a,['#MATLAB/Octave']
NO,NO,NO,1,NO,0.240278791,0.046996613,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-14.96665955,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.273294198,0.046996613,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-76.7833252,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,2,NO,0.240278791,0.048551896,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-485.3499908,NO,NO,NO,NO,0,li,"[['toclevel-3', 'tocsection-12']]"
NO,NO,NO,2,NO,0.240278791,0.048754759,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-62.46665955,NO,NO,NO,NO,0,a,['#Python']
NO,NO,NO,1,NO,0.240278791,0.048551896,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-14.96665955,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.273294198,0.048551896,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-20.13331604,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,50,NO,0.191672776,0.050039559,0.18,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-336.333313,NO,NO,NO,NO,0,li,"[['toclevel-1', 'tocsection-13']]"
NO,NO,NO,2,NO,0.191672776,0.050242422,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-57.0166626,NO,NO,NO,NO,0,a,['#Variations']
NO,NO,NO,1,NO,0.191672776,0.050039559,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,7.233352661,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,1,NO,0.204512101,0.050039559,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-36.8833313,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,47,NO,0.215517237,0.051527222,0.191489362,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-331.0166779,NO,NO,NO,NO,0,ul,[]
NO,NO,NO,6,NO,0.215517237,0.051527222,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9500122,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-14']]"
NO,NO,NO,6,NO,0.215517237,0.051730085,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-208.9333344,NO,NO,NO,NO,0,a,['#PageRank_of_an_undirected_graph']
NO,NO,NO,1,NO,0.215517237,0.051527222,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.86668396,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,5,NO,0.238444602,0.051527222,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-177.6999969,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,13,NO,0.215517237,0.053014884,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9500122,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-15']]"
NO,NO,NO,13,NO,0.215517237,0.053217747,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-518.0333405,NO,NO,NO,NO,0,a,['#Generalization_of_PageRank_and_eigenvector_centrality_for_ranking_objects_of_two_kinds']
NO,NO,NO,1,NO,0.215517237,0.053014884,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.86668396,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,12,NO,0.238444602,0.053014884,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-486.7999878,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,6,NO,0.215517237,0.054570168,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9499969,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-16']]"
NO,NO,NO,6,NO,0.215517237,0.054773031,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-293.1833344,NO,NO,NO,NO,0,a,['#Distributed_algorithm_for_PageRank_computation']
NO,NO,NO,1,NO,0.215517237,0.054570168,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.866668701,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,5,NO,0.238444602,0.054570168,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-261.9499969,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,3,NO,0.215517237,0.056125451,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9499969,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-17']]"
NO,NO,NO,3,NO,0.215517237,0.056328314,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-100.1833344,NO,NO,NO,NO,0,a,['#Google_Toolbar']
NO,NO,NO,1,NO,0.215517237,0.056125451,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.866668701,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,2,NO,0.238444602,0.056125451,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-68.94998169,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,3,NO,0.215517237,0.057613114,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9499969,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-18']]"
NO,NO,NO,3,NO,0.215517237,0.057815977,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-75.7333374,NO,NO,NO,NO,0,a,['#SERP_rank']
NO,NO,NO,1,NO,0.215517237,0.057613114,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.866668701,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,2,NO,0.238444602,0.057613114,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-44.49998474,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,4,NO,0.215517237,0.059168397,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9499969,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-19']]"
NO,NO,NO,4,NO,0.215517237,0.05937126,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-173.3833466,NO,NO,NO,NO,0,a,['#Google_directory_PageRank']
NO,NO,NO,1,NO,0.215517237,0.059168397,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.866668701,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,3,NO,0.238444602,0.059168397,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-142.1499939,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,5,NO,0.215517237,0.06065606,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9500122,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-20']]"
NO,NO,NO,5,NO,0.215517237,0.060858923,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-174.8666534,NO,NO,NO,NO,0,a,['#False_or_spoofed_PageRank']
NO,NO,NO,1,NO,0.215517237,0.06065606,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.86668396,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,4,NO,0.238444602,0.06065606,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-143.6333313,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,3,NO,0.215517237,0.062211344,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9500122,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-21']]"
NO,NO,NO,3,NO,0.215517237,0.062414207,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-151.2000122,NO,NO,NO,NO,0,a,['#Manipulating_PageRank']
NO,NO,NO,1,NO,0.215517237,0.062211344,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-3.86668396,NO,NO,NO,NO,0,span,[['tocnumber']]
NO,NO,NO,2,NO,0.238444602,0.062211344,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-119.9666748,NO,NO,NO,NO,0,span,[['toctext']]
NO,NO,NO,4,NO,0.215517237,0.063766627,0,0,NO,NO,YES,NO,NO,NO,NO,NO,0,-511.9500122,NO,NO,NO,NO,0,li,"[['toclevel-2', 'tocsection-22']]"
NO,NO,NO,4,NO,0.215517237,0.06396949,0,0,NO,NO,NO,NO,NO,NO,NO,NO,0,-139.3500061,NO,NO,NO,NO,0,a,['#Directed_Surfer_Model']
